                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.3522,                0.66467,                0.97966,                 1.7487,                0.86735,                0.95496,                0.84629,                0.61427,                0.68828,                0.38754,                 1.2485,                0.54565,                0.96197,                 1.5728,                0.71771,                0.94934,                0.00769,                0.00769,                0.00769
                     38,                 1.3632,                0.66902,                0.98259,                 1.7613,                0.87926,                0.95697,                0.85191,                 0.6131,                 0.6887,                0.38954,                  1.244,                0.54217,                0.96374,                 1.5665,                0.71511,                0.94728,               0.007624,               0.007624,               0.007624
                     39,                  1.354,                0.66299,                0.97937,                 1.7553,                0.87132,                0.95418,                0.84876,                0.61663,                0.69069,                0.39092,                 1.2404,                0.54035,                0.96198,                 1.5631,                 0.7109,                0.94741,               0.007558,               0.007558,               0.007558
                     40,                 1.3473,                0.65893,                0.97916,                 1.7399,                0.86389,                0.95514,                0.84734,                0.61599,                0.69009,                0.38899,                 1.2405,                0.54059,                 0.9604,                 1.5658,                0.71343,                0.94754,               0.007492,               0.007492,               0.007492
                     41,                 1.3482,                 0.6612,                0.97969,                 1.7457,                0.86988,                0.95595,                0.84862,                0.61833,                0.69215,                0.39195,                 1.2372,                 0.5366,                0.95929,                 1.5604,                0.70388,                0.94732,               0.007426,               0.007426,               0.007426
                     42,                 1.3371,                0.65334,                0.97602,                 1.7359,                0.85814,                0.95311,                0.85044,                0.61872,                0.69313,                0.39268,                 1.2339,                0.53348,                0.95968,                 1.5567,                0.69944,                0.94595,                0.00736,                0.00736,                0.00736
                     43,                 1.3446,                0.65747,                0.97882,                  1.738,                0.85625,                0.95302,                0.85063,                0.62054,                0.69459,                0.39346,                 1.2328,                0.53296,                0.95931,                 1.5555,                0.69834,                0.94421,               0.007294,               0.007294,               0.007294
                     44,                 1.3513,                0.65782,                0.97955,                 1.7509,                0.86178,                0.95244,                0.85002,                0.62187,                 0.6954,                0.39553,                 1.2283,                0.53084,                0.95868,                 1.5495,                0.69529,                0.94396,               0.007228,               0.007228,               0.007228
                     45,                 1.3363,                0.65095,                0.97827,                 1.7335,                0.85549,                0.95395,                0.85156,                0.62154,                0.69542,                0.39516,                 1.2264,                0.52799,                0.95761,                  1.549,                0.69448,                0.94385,               0.007162,               0.007162,               0.007162
                     46,                 1.3404,                0.65325,                0.97932,                 1.7302,                0.85806,                 0.9536,                0.85059,                0.62244,                 0.6959,                0.39558,                 1.2263,                0.52686,                0.95618,                 1.5479,                0.69391,                0.94135,               0.007096,               0.007096,               0.007096
                     47,                 1.3382,                0.65164,                0.97456,                 1.7333,                0.85371,                   0.95,                0.85386,                 0.6225,                0.69697,                0.39711,                  1.222,                0.52443,                0.95523,                 1.5436,                0.69021,                0.94058,                0.00703,                0.00703,                0.00703
                     48,                 1.3284,                0.64666,                0.97713,                 1.7184,                0.85328,                0.95286,                0.85259,                0.62426,                0.69712,                0.39666,                 1.2214,                0.52161,                0.95355,                  1.544,                0.68515,                0.93909,               0.006964,               0.006964,               0.006964
                     49,                 1.3343,                0.64917,                0.97559,                  1.726,                 0.8519,                0.95131,                0.85416,                0.62505,                0.69785,                0.39792,                 1.2193,                 0.5202,                 0.9529,                 1.5412,                0.68497,                 0.9394,               0.006898,               0.006898,               0.006898
                     50,                 1.3347,                0.64598,                0.97593,                 1.7279,                0.85192,                0.95273,                0.85531,                0.62543,                 0.6991,                0.39873,                 1.2156,                0.51821,                0.95098,                 1.5374,                0.68232,                 0.9384,               0.006832,               0.006832,               0.006832
                     51,                 1.3295,                0.64593,                0.97621,                 1.7166,                0.84314,                0.95125,                 0.8546,                0.62613,                0.69979,                 0.4001,                 1.2127,                0.51688,                0.95077,                 1.5331,                0.68138,                0.93778,               0.006766,               0.006766,               0.006766
                     52,                 1.3329,                0.64474,                 0.9737,                 1.7262,                0.85267,                0.94926,                0.85371,                0.62817,                0.70064,                 0.4008,                 1.2114,                 0.5154,                0.95093,                 1.5305,                0.67972,                0.93661,                 0.0067,                 0.0067,                 0.0067
                     53,                 1.3268,                  0.641,                0.97058,                 1.7182,                 0.8383,                0.94731,                0.85409,                0.62729,                0.70081,                0.40123,                 1.2088,                0.51392,                0.94921,                 1.5279,                0.67692,                 0.9351,               0.006634,               0.006634,               0.006634
                     54,                 1.3287,                0.63944,                0.96726,                 1.7252,                 0.8402,                0.94355,                0.85292,                0.62801,                0.70069,                0.40109,                 1.2078,                0.51258,                 0.9485,                 1.5286,                0.67599,                0.93456,               0.006568,               0.006568,               0.006568
                     55,                 1.3254,                0.63569,                 0.9711,                 1.7206,                  0.838,                0.94707,                0.85368,                0.62995,                0.70253,                0.40223,                 1.2055,                0.51068,                0.94816,                 1.5259,                 0.6735,                0.93403,               0.006502,               0.006502,               0.006502
                     56,                 1.3231,                0.63857,                0.97113,                 1.7145,                0.84051,                0.94656,                0.85717,                0.62861,                0.70329,                0.40278,                 1.2037,                 0.5095,                0.94772,                 1.5239,                0.67213,                0.93348,               0.006436,               0.006436,               0.006436
